turn,guess,entropy,aspce_old,aspce_new,p,answer
3, binge, 0.816292, 3, 1, 0.333333, binge
2, clint, 2.19647, 56, 3, 0, bingo
3, bingo, 0.816292, 3, 1, 0.333333, bingo
2, bling, 1.81617, 20, 1, 0, biome
3, biome, 1.81617, 1, 1, 0, biome
2, glint, 2.24806, 57, 2, 0, birch
3, birch, 0.59665, 2, 1, 0.5, birch
2, glint, 2.24806, 57, 3, 0, birth
3, birth, 0.816292, 3, 1, 0.333333, birth
2, gloss, 1.37005, 7, 2, 0.142857, bison
3, bison, 0.59665, 2, 1, 0.5, bison
2, clint, 2.75029, 183, 9, 0, bitty
3, ditty, 1.37298, 9, 3, 0.111111, bitty
4, bitty, 0.800892, 3, 1, 0.333333, bitty
2, clink, 2.05971, 40, 2, 0, black
3, black, 0.59665, 2, 1, 0.5, black
2, glitz, 2.11346, 28, 6, 0, blade
3, blame, 1.26542, 6, 1, 0.166667, blade
4, blade, 1.26542, 1, 1, 0.166667, blade
2, glitz, 2.11346, 28, 6, 0, blame
3, blame, 1.26542, 6, 1, 0.166667, blame
2, clink, 2.05971, 40, 3, 0, bland
3, bland, 0.816292, 3, 1, 0.333333, bland
2, clink, 2.05971, 40, 3, 0, blank
3, blank, 0.936092, 3, 1, 0.333333, blank
2, blare, 1.17688, 4, 1, 0.25, blare
2, chals, 1.69829, 14, 2, 0, blast
3, blast, 0.59665, 2, 1, 0.5, blast
2, glitz, 2.11346, 28, 1, 0, blaze
3, blaze, 2.11346, 1, 1, 0, blaze
2, pleat, 2.36651, 68, 4, 0.0147059, bleak
3, glean, 0.951825, 4, 1, 0.25, bleak
4, bleak, 0.951825, 1, 1, 0.25, bleak
2, pleat, 2.36651, 68, 2, 0.0147059, bleat
3, bleat, 0.59665, 2, 1, 0.5, bleat
2, teind, 2.58176, 120, 3, 0, bleed
3, bleed, 0.816292, 3, 1, 0.333333, bleed
2, teind, 2.58176, 120, 10, 0, bleep
3, excel, 1.31639, 10, 1, 0.1, bleep
4, bleep, 1.31639, 1, 1, 0.1, bleep
2, teind, 2.58176, 120, 1, 0, blend
3, blend, 2.58176, 1, 1, 0, blend
2, teugh, 1.78682, 19, 1, 0, bless
3, bless, 1.78682, 1, 1, 0, bless
2, clint, 2.75029, 183, 1, 0, blimp
3, blimp, 2.75029, 1, 1, 0, blimp
2, clint, 2.75029, 183, 3, 0, blind
3, blind, 0.816292, 3, 1, 0.333333, blind
2, clint, 2.75029, 183, 3, 0, blink
3, blind, 0.816292, 3, 1, 0.333333, blink
4, blink, 0.816292, 1, 1, 0.333333, blink
2, mythi, 2.01414, 33, 3, 0, bliss
3, bliss, 0.816292, 3, 1, 0.333333, bliss
2, clint, 2.75029, 183, 1, 0, blitz
3, blitz, 2.75029, 1, 1, 0, blitz
2, cloot, 2.14755, 44, 4, 0, bloat
3, aloft, 1.04167, 4, 2, 0.25, bloat
4, bloat, 0.46145, 2, 1, 0.5, bloat
2, clint, 2.19647, 56, 2, 0, block
3, block, 0.59665, 2, 1, 0.5, block
2, bling, 1.81617, 20, 1, 0, bloke
3, bloke, 1.81617, 1, 1, 0, bloke
2, clint, 2.19647, 56, 1, 0, blond
3, blond, 2.19647, 1, 1, 0, blond
2, clint, 2.19647, 56, 4, 0, blood
3, blood, 0.951825, 4, 1, 0.25, blood
2, clint, 2.19647, 56, 4, 0, bloom
3, blood, 0.951825, 4, 1, 0.25, bloom
4, bloom, 0.951825, 1, 1, 0.25, bloom
2, clint, 2.19647, 56, 2, 0, blown
3, blown, 0.59665, 2, 1, 0.5, blown
2, tined, 2.70047, 117, 25, 0, bluer
3, flump, 1.81192, 25, 1, 0, bluer
4, bluer, 1.81192, 1, 1, 0, bluer
2, clint, 2.75029, 183, 5, 0, bluff
3, bluff, 1.04844, 5, 1, 0.2, bluff
2, clint, 2.75029, 183, 1, 0, blunt
3, blunt, 2.75029, 1, 1, 0, blunt
2, fitch, 1.58915, 13, 1, 0, blurb
3, blurb, 1.58915, 1, 1, 0, blurb
2, fitch, 1.58915, 13, 1, 0, blurt
3, blurt, 1.58915, 1, 1, 0, blurt
2, mythi, 2.01414, 33, 3, 0, blush
3, blush, 0.936092, 3, 1, 0.333333, blush
2, board, 0.73185, 2, 1, 0.5, board
2, boast, 1.07129, 3, 1, 0.333333, boast
2, culty, 2.5231, 87, 15, 0, bobby
3, goody, 1.62035, 15, 3, 0.0666667, bobby
4, bobby, 0.681092, 3, 1, 0.333333, bobby
2, meynt, 2.00882, 26, 2, 0, boney
3, boney, 0.59665, 2, 1, 0.5, boney
2, culty, 2.5231, 87, 3, 0, bongo
3, doing, 0.816292, 3, 1, 0.333333, bongo
4, bongo, 0.816292, 1, 1, 0.333333, bongo
2, jumby, 1.71339, 15, 1, 0, bonus
3, bonus, 1.71339, 1, 1, 0, bonus
2, culty, 2.5231, 87, 15, 0, booby
