turn,guess,entropy,aspce_old,aspce_new,p,answer
3,gloop,3.18872,12,3,0,brood
4,adeem,1.58496,3,1,0,brood
5,brood,1.58496,1,1,0,brood
2,cutin,4.05978,59,12,0,brook
3,gloop,3.18872,12,3,0,brook
4,adeem,1.58496,3,1,0,brook
5,brook,1.58496,1,1,0,brook
2,cutin,4.05978,59,12,0,broom
3,gloop,3.18872,12,3,0,broom
4,adeem,1.58496,3,1,0,broom
5,broom,1.58496,1,1,0,broom
2,cutin,4.05978,59,6,0,broth
3,throb,2.58496,6,1,0.166667,broth
4,broth,2.58496,1,1,0.166667,broth
2,cutin,4.05978,59,4,0,brown
3,badge,2,4,1,0,brown
4,brown,2,1,1,0,brown
2,glint,4.65581,57,2,0,brunt
3,brunt,1,2,1,0.5,brunt
2,cruft,3.75,16,1,0,brush
3,brush,3.75,1,1,0,brush
2,pudic,4.0055,39,2,0,brute
3,brute,1,2,1,0.5,brute
2,clint,5.5085,183,15,0,buddy
3,pudgy,3.50689,15,2,0.0666667,buddy
4,buddy,1,2,1,0.5,buddy
2,guilt,5.06772,79,5,0,budge
3,aband,1.92193,5,1,0,budge
4,budge,1.92193,1,1,0,budge
2,clint,5.5085,183,15,0,buggy
3,pudgy,3.50689,15,1,0.0666667,buggy
4,buggy,3.50689,1,1,0.0666667,buggy
2,guilt,5.06772,79,1,0,bugle
